Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
119106,02-08-2020 07:55,3.77896E+14,"fraud_Bahringer, Schoen and Corkery",shopping_pos,1.07,Kimberly,Myers,F,6881 King Isle Suite 228,Higganum,CT,6441,41.4682,-72.5751,5438,"Librarian, academic",17-11-1964,cf581d75ccc9ba838a05dec8bfa78b5b,1375430128,41.240083,-71.837788,1
179292,23-08-2020 14:05,3.03641E+13,"fraud_Romaguera, Wehner and Tromp",kids_pets,94.99,Samuel,Sandoval,M,0005 Morrison Land,Mounds,OK,74047,35.8896,-96.0887,7163,Fitness centre manager,05-02-1982,b1bfaf13224da41f422db483fd810dd7,1377266716,35.156537,-95.806648,1
540729,28-12-2020 16:22,3.03284E+13,fraud_Berge-Hills,kids_pets,31.28,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,64630,40.029,-93.1607,602,Cytogeneticist,14-07-1954,cde9fc0136873645778d0ad8817db655,1388247749,39.888665,-93.106804,1
374360,14-11-2020 10:44,3.03641E+13,"fraud_Connelly, Reichert and Fritsch",gas_transport,73.06,Samuel,Sandoval,M,0005 Morrison Land,Mounds,OK,74047,35.8896,-96.0887,7163,Fitness centre manager,05-02-1982,90b8429191e5c83df1afba4e5db4d61e,1384425890,36.734101,-96.737345,1
314574,19-10-2020 01:50,4.19847E+12,fraud_Kuphal-Predovic,misc_net,9.99,Christie,Williamson,F,519 Jerry Views,Avoca,IA,51521,41.4768,-95.3509,2036,Engineering geologist,20-08-1971,e4893795b6b3e41667129b9ed13b9650,1382147409,40.922072,-94.899388,1
377296,15-11-2020 17:04,2.13127E+14,"fraud_Kihn, Brakus and Goyette",personal_care,28.5,Christopher,Luna,M,242 Brian Mountain,Laredo,TX,78040,27.5155,-99.4986,248858,Video editor,28-01-1971,b76319f767c5b27731982851c12366ba,1384535044,27.480792,-99.711391,1
399943,24-11-2020 22:26,6.39024E+11,"fraud_Roob, Conn and Tremblay",shopping_pos,9.09,Destiny,Lowe,F,79472 Stevens Trace Apt. 120,Hannawa Falls,NY,13647,44.6087,-74.9732,69,Chief Executive Officer,05-06-1991,d21bc0886809d98c17b626db3c3c88d1,1385331976,44.774938,-74.50883,1
1481,21-06-2020 20:46,4.99049E+12,fraud_Fadel Inc,health_fitness,1.64,Martin,Ford,M,56812 Francis Courts,Corriganville,MD,21524,39.6967,-78.8031,626,Energy engineer,13-12-1960,2ee3bc727806dde7f17d20394297acd1,1371847580,40.213281,-78.469302,1
465665,12-12-2020 10:15,4.45237E+15,"fraud_Stroman, Hudson and Erdman",gas_transport,55.9,Linda,Davis,F,6602 Ortiz Pine Apt. 179,Blooming Grove,TX,76626,32.0758,-96.701,1563,Financial adviser,04-03-1978,044fe6aac6c192d55144776bafdd0bd6,1386843323,32.600435,-97.304885,1
430957,04-12-2020 16:31,1.80094E+14,fraud_Weimann-Lockman,kids_pets,50.61,Sharon,Smith,F,17666 David Valleys,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",22-09-1972,c397d59c441a8e74ffabd529da3cfb90,1386174701,34.302441,-118.085049,1
50631,08-07-2020 09:28,2.28406E+15,fraud_Dibbert and Sons,entertainment,2.35,Thomas,Mathis,M,26615 Nelson Lane,Moores Hill,IN,47032,39.0945,-85.0638,3289,Sub,22-11-1969,695c8ffd5e510d9b01455e0d77b4d6b4,1373275717,38.76271,-84.182873,1
312073,18-10-2020 05:04,2.13155E+14,fraud_Gislason Group,misc_pos,35.91,Christopher,Sheppard,M,39218 Baker Shoals,Bristow,IN,47515,38.1981,-86.6821,965,Horticultural therapist,10-02-1982,f9005efceb697e931f97c8bde065a760,1382072668,37.364532,-87.269404,1
230636,12-09-2020 12:35,4.64289E+12,fraud_Nader-Maggio,personal_care,2.63,Eddie,Mendez,M,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,13-07-1990,2310cccd8945d776190bad2bc43dc238,1378989315,39.911906,-95.621173,1
108247,28-07-2020 16:08,3.01318E+13,"fraud_Schneider, Hayes and Nikolaus",food_dining,127.16,Brianna,Foley,F,57256 Raymond Ports,Knoxville,TN,37932,35.9335,-84.1481,391389,"Designer, industrial/product",22-04-1994,55707424c7dca4902d98337fdf4bf175,1375027729,36.094236,-85.027233,1
289179,07-10-2020 09:39,6.0114E+15,fraud_Bradtke PLC,grocery_pos,125.11,Maria,Roy,F,58665 Nicholas Ford Suite 348,Sheffield,MA,1257,42.1001,-73.3611,2121,Radio producer,14-10-1973,4c61fb159872cc74472f8e4c0f99e4e9,1381138755,41.700562,-73.902571,1
